name_a,name_b,label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33
Conservatorio di Musica di Mantova,Conservatorio Musica Jaen,0,84.44444444444444,77.96610169491525,88.88888888888889,85.71428571428572,77.96610169491525,84.44444444444444,77.96610169491525,0.3050847457627119,0.25,0.8666666666666667,0.0,0.0,0.0,0.0,18.26348364656161,9.08035188874864,31.802729233277866,7.12025710470137,1.0,0.0,,,,,,,,,,,,,,
University of Maryland Berlin,Business and Law Studies University of Maryland,0,85.5,68.42105263157895,86.27450980392157,86.27450980392157,57.89473684210527,85.5,68.42105263157895,0.4736842105263157,0.2727272727272727,0.9444444444444444,0.0,0.0,0.0,0.0,13.279981244164134,2.9061104621652203,29.6481175092008,3.945265059140071,1.0,0.0,,,,,,,,,,,,,,
"Southern University A & M Baton Rouge, Louisiana",Southern Univerrsity Baton Rouge La.,1,80.95238095238095,80.95238095238095,80.95238095238095,83.33333333333334,80.95238095238095,80.95238095238095,80.95238095238095,0.2857142857142857,0.2307692307692307,0.8,0.0,0.0,0.0,0.0,25.668445572352176,6.728976631585161,39.7484460503186,3.048163956633323,1.0,0.0,,,,,,,,,,,,,,
Pennsylvania State University at Erie,Pennsylvania State University & LaSalle Extension University,0,85.5,72.16494845360825,87.87878787878788,89.85507246376811,72.16494845360825,85.5,72.16494845360825,0.4742268041237113,0.1666666666666666,0.8125,0.0,0.0,0.0,0.0,15.104997409693976,3.048163956633323,31.737891634843155,5.3770994780380175,1.0,0.0,,,,,,,,,,,,,,
Science Hill,MS Science College,1,85.5,66.66666666666667,73.6842105263158,83.33333333333334,66.66666666666667,85.5,66.66666666666667,0.4,0.2,0.6363636363636364,0.0,0.0,0.0,0.0,5.499031748307038,5.499031748307038,18.622200374452,3.5257171257853908,1.0,0.0,,,,,,,,,,,,,,
William S. Beaumont High School,William Beaumont Hospital MRI Post Graduate School,0,85.5,66.66666666666667,85.18518518518519,76.0,64.19753086419753,85.5,66.66666666666667,0.4691358024691358,0.1666666666666666,0.8,0.0,0.0,0.0,0.0,20.28625743134418,2.732181002845912,39.28920692068184,3.44245250801364,0.0,0.0,,,,,,,,,,,,,,
Centeral Catholic high School,Rome Catholic School,0,81.42857142857142,69.38775510204081,85.71428571428571,75.0,69.38775510204081,81.42857142857142,69.38775510204081,0.3673469387755102,0.1428571428571428,0.7857142857142857,0.0,0.0,0.0,0.0,9.434495215890696,2.732181002845912,21.500625079556603,3.44245250801364,0.0,0.0,,,,,,,,,,,,,,
Codarts Rotterdam | University of the Arts,A. University of The Arts,0,85.5,62.68656716417911,83.72093023255815,91.66666666666666,65.67164179104478,85.5,62.68656716417911,0.5074626865671642,0.1666666666666666,0.7368421052631579,0.0,0.0,0.0,0.0,16.220549757821132,2.9061104621652203,29.175867605250453,5.333313229763538,1.0,0.0,,,,,,,,,,,,,,
Los Angeles Commmunity College,San pedro High & Los Angeles city College,0,73.6734693877551,64.7887323943662,77.55102040816327,85.18518518518519,64.7887323943662,73.6734693877551,64.7887323943662,0.3098591549295774,0.3333333333333333,0.631578947368421,0.0,0.0,0.0,0.0,18.09713367461036,3.5257171257853908,34.34211449349427,3.44245250801364,0.0,0.0,,,,,,,,,,,,,,
"Central University Las Villas, Cuba",University of Las Villas,1,71.1864406779661,71.1864406779661,73.6842105263158,87.5,71.1864406779661,71.1864406779661,71.1864406779661,0.3728813559322034,0.1111111111111111,0.7058823529411765,0.0,0.0,0.0,0.0,21.66180208364576,3.048163956633323,16.804354833453,2.9061104621652203,1.0,0.0,,,,,,,,,,,,,,
United States Navy Radioman Schools,Navy Radioman Technical School,1,70.15384615384616,73.84615384615385,73.84615384615384,78.43137254901961,61.53846153846154,70.15384615384616,73.84615384615385,0.1538461538461538,0.1111111111111111,0.9411764705882352,0.0,0.0,0.0,0.0,17.890796373815324,6.575300672868171,26.68980198669617,2.732181002845912,1.0,0.0,,,,,,,,,,,,,,
Albany - State University of NY,State University of NY at Geneseo College,0,78.86792452830188,69.44444444444444,83.01886792452831,83.01886792452831,61.11111111111112,78.86792452830188,69.44444444444444,0.2777777777777778,0.0769230769230769,0.7777777777777778,0.0,0.0,0.0,0.0,17.911226304349032,2.9061104621652203,28.35298155760089,3.5257171257853908,1.0,0.0,,,,,,,,,,,,,,
Greenwich Grammar High School,Heath Grammar School,0,78.23529411764704,69.38775510204081,82.35294117647058,75.0,69.38775510204081,78.23529411764704,69.38775510204081,0.3673469387755102,0.1428571428571428,0.7333333333333333,0.0,0.0,0.0,0.0,10.38914440606842,2.732181002845912,23.56276173554282,3.44245250801364,0.0,0.0,,,,,,,,,,,,,,
Dr.MGR Medical University Tamil NAdu,The T.N. Dr. MGR Medical University,1,77.60563380281691,81.69014084507043,81.69014084507043,83.33333333333334,70.4225352112676,77.60563380281691,81.69014084507043,0.028169014084507,0.0909090909090909,0.9444444444444444,0.0,0.0,0.0,0.0,25.91885646240585,3.048163956633323,35.45202580073926,4.496381584832459,1.0,0.0,,,,,,,,,,,,,,
Norht Central High School,Cape Central High Scool,0,79.16666666666666,75.0,79.16666666666667,88.37209302325581,79.16666666666666,79.16666666666666,75.0,0.0833333333333333,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,9.348828637897713,3.44245250801364,30.179605491271783,2.732181002845912,0.0,0.0,,,,,,,,,,,,,,
Garden City High Schoool,Inter City High School,0,78.26086956521739,69.56521739130434,78.26086956521739,87.8048780487805,78.26086956521739,78.26086956521739,69.56521739130434,0.0869565217391304,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,9.296144989232044,3.44245250801364,28.10495178866568,2.732181002845912,0.0,0.0,,,,,,,,,,,,,,
Oklahoma State University - Grad School,Chihuahua State University,0,85.5,61.53846153846154,76.19047619047619,78.43137254901961,61.53846153846154,85.5,61.53846153846154,0.4,0.3333333333333333,0.65,0.0,0.0,0.0,0.0,7.621445773960984,3.048163956633323,29.2368626502842,2.732181002845912,1.0,0.0,,,,,,,,,,,,,,
Gadsden State University,Moscow State University of Publishing,0,85.5,62.29508196721312,80.0,76.59574468085107,59.01639344262295,85.5,62.29508196721312,0.4262295081967213,0.25,0.5454545454545454,0.0,0.0,0.0,0.0,7.621445773960984,3.048163956633323,31.05243701706971,2.9061104621652203,1.0,0.0,,,,,,,,,,,,,,
Gonzaga Univerisity,Oklahoma State Univerisity,0,69.66666666666666,66.66666666666667,73.33333333333333,77.41935483870968,66.66666666666667,69.66666666666666,66.66666666666667,0.3111111111111111,0.2,0.6666666666666666,0.0,0.0,0.0,0.0,8.486126051565499,8.486126051565499,22.1820107612855,4.573281817327661,1.0,0.0,,,,,,,,,,,,,,
Deshler Vocational School,Dibble Vocational,0,70.37037037037037,66.66666666666667,74.07407407407408,76.47058823529412,66.66666666666667,70.37037037037037,66.66666666666667,0.3809523809523809,0.2,0.7333333333333333,0.0,0.0,0.0,0.0,6.076628374567607,6.076628374567607,28.62600604304597,2.732181002845912,1.0,0.0,,,,,,,,,,,,,,
Saint Paul University of Dumaguete,Saint Paul  University Philippines,0,73.88888888888889,65.67164179104478,77.77777777777777,78.57142857142857,67.64705882352942,73.88888888888889,65.67164179104478,0.0,0.1111111111111111,0.6842105263157895,0.0,0.0,0.0,0.0,16.50253951198337,3.048163956633323,22.700336512716746,2.9061104621652203,1.0,0.0,,,,,,,,,,,,,,
State Engineering University of Technology,Lublin University of Technology,0,82.9090909090909,73.97260273972603,87.27272727272728,91.52542372881356,73.97260273972603,82.9090909090909,73.97260273972603,0.3013698630136986,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,10.954136977211856,2.9061104621652203,20.80809999369393,4.573281817327661,1.0,0.0,,,,,,,,,,,,,,
RES POLYTECHNIC,WORCESTOR POLYTECHNIC INSTITUTE,0,85.5,65.21739130434783,84.61538461538461,86.66666666666667,65.21739130434783,85.5,65.21739130434783,0.6956521739130435,0.2,0.8666666666666667,0.0,0.0,0.0,0.0,6.380083828088484,6.380083828088484,28.910391720261085,4.220539484386967,1.0,0.0,,,,,,,,,,,,,,
Haisley Elementary School,Lafe Elementary,0,85.5,65.0,80.0,80.0,65.0,85.5,65.0,0.5,0.2,0.6,0.0,0.0,0.0,0.0,6.375251771301384,6.375251771301384,30.94101365603857,2.732181002845912,1.0,0.0,,,,,,,,,,,,,,
